model,file,n_observations,n_relevant,ARI,n_rel_rel,n_irr_irr,time,convergence ELBO,convergence itr
6,data_sim_crook/6_X_shuffled_n=1000_p=200_d=10.csv,1000,10,0.991953184188564,10,190,24.226545572280884,-255353.83695590353,21
7,data_sim_crook/7_X_shuffled_n=1000_p=200_d=10.csv,1000,10,0.9568509308916213,10,190,27.467207193374634,-255369.65374547068,25
8,data_sim_crook/8_X_shuffled_n=1000_p=200_d=10.csv,1000,10,0.936385231538346,10,189,27.564778566360474,-255806.10520807625,25
9,data_sim_crook/9_X_shuffled_n=1000_p=200_d=10.csv,1000,10,0.7611950125472593,10,189,12.091173887252808,-255641.7015394676,10
0,data_sim_crook/0_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.9184177920125981,20,180,27.656656980514526,-263540.3178247962,25
1,data_sim_crook/1_X_shuffled_n=1000_p=200_d=20.csv,1000,20,1.0,20,178,27.54068946838379,-270904.64581431507,25
2,data_sim_crook/2_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.7161303975953147,20,180,27.74293303489685,-263534.99022614415,25
3,data_sim_crook/3_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.9936514161077599,20,180,27.535374402999878,-263478.3218792956,25
4,data_sim_crook/4_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.8719941628081811,20,179,27.52858853340149,-257970.83055832484,25
5,data_sim_crook/5_X_shuffled_n=1000_p=200_d=20.csv,1000,20,1.0,20,180,27.61950445175171,-263856.70781856286,25
6,data_sim_crook/6_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.9873603506473565,20,180,28.763932943344116,-263558.8619663514,25
7,data_sim_crook/7_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.7236311199855854,20,179,24.066304922103882,-258051.2797624945,20
8,data_sim_crook/8_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.8762008404198308,20,179,29.97922396659851,-264230.6995575294,25
9,data_sim_crook/9_X_shuffled_n=1000_p=200_d=20.csv,1000,20,0.9243859154100147,20,180,28.51587986946106,-257497.28633838097,25
0,data_sim_crook/0_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,148,27.415393829345703,-283232.9080258005,25
1,data_sim_crook/1_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,149,27.489376544952393,-295035.16532258614,25
2,data_sim_crook/2_X_shuffled_n=1000_p=200_d=50.csv,1000,50,0.9978774523131233,50,150,27.53093147277832,-279499.01335731073,25
3,data_sim_crook/3_X_shuffled_n=1000_p=200_d=50.csv,1000,50,0.896771227872352,50,149,27.644413709640503,-279950.26584881765,25
4,data_sim_crook/4_X_shuffled_n=1000_p=200_d=50.csv,1000,50,0.7622165629528599,50,150,27.489591598510742,-279309.5003930562,25
5,data_sim_crook/5_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,150,27.378698587417603,-294666.03214892006,25
6,data_sim_crook/6_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,150,27.496726512908936,-294125.9958790938,25
7,data_sim_crook/7_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,149,27.509646892547607,-295047.2596487305,25
8,data_sim_crook/8_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,149,27.54760456085205,-295182.5213759013,25
9,data_sim_crook/9_X_shuffled_n=1000_p=200_d=50.csv,1000,50,1.0,50,150,27.50936222076416,-294250.8187612281,25
0,data_sim_crook/0_X_shuffled_n=1000_p=200_d=100.csv,1000,100,0.7358788069979663,100,99,27.568718671798706,-306342.4431491003,25
1,data_sim_crook/1_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,100,27.73215103149414,-335721.75743337657,25
2,data_sim_crook/2_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,100,27.710022926330566,-316598.6763807831,25
3,data_sim_crook/3_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,100,27.73983144760132,-335752.5361738737,25
4,data_sim_crook/4_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,100,27.7699716091156,-335256.45157158904,25
5,data_sim_crook/5_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,100,27.789302349090576,-335945.8514378973,25
6,data_sim_crook/6_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,100,27.786447048187256,-335466.5296082269,25
7,data_sim_crook/7_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,99,27.7687726020813,-336113.06307688466,25
8,data_sim_crook/8_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,99,27.7940092086792,-336313.54941131495,25
9,data_sim_crook/9_X_shuffled_n=1000_p=200_d=100.csv,1000,100,1.0,100,99,12.164535760879517,-336178.67801061476,10
